ARIAL SDF	Fonts & Materials/ARIAL SDF		
Challenges/Objective_R1_TutorialHospital_Cure5Patients_Name	Cure Patients		
Challenges/Objective_R1_TutorialHospital_CurePatient_Description	Cure a Patient		
Challenges/Objective_R1_TutorialHospital_CurePatient_Name	Cure a Patient		
Challenges/Objective_R1_TutorialHospital_Diagnose1Patient_Description			
Challenges/Objective_R1_TutorialHospital_Diagnose1Patient_Name	Diagnose a Patient		
Challenges/Objective_R1_TutorialHospital_GPOffice_Description	Build a GP Office		
Challenges/Objective_R1_TutorialHospital_GPOffice_Name	Build a GP Office		
Challenges/Objective_R1_TutorialHospital_HireAssistant_Description	Hire an Assistant		
Challenges/Objective_R1_TutorialHospital_HireAssistant_Name	Hire an Assistant		
Challenges/Objective_R1_TutorialHospital_HireDoctor_Description	Hire a Doctor		
Challenges/Objective_R1_TutorialHospital_HireDoctor_Name	Hire a Doctor		
Challenges/Objective_R1_TutorialHospital_Janitors_Description			
Challenges/Objective_R1_TutorialHospital_Janitors_Name	Charlie Work		
Challenges/Objective_R1_TutorialHospital_KeepingPeopleHappy_Description			
Challenges/Objective_R1_TutorialHospital_KeepingPeopleHappy_Name	Keeping People Happy		
Challenges/Objective_R1_TutorialHospital_LevelObjective1_Description	Some patients will have diseases that GP's can't diagnose. Build a General Diagnosis		
Challenges/Objective_R1_TutorialHospital_LevelObjective1_Name	Basic Hospital		
Challenges/Objective_R1_TutorialHospital_LevelObjective2_Description			
Challenges/Objective_R1_TutorialHospital_LevelObjective2_Name	Improved Hospital		
Challenges/Objective_R1_TutorialHospital_LevelObjective3_Description			
Challenges/Objective_R1_TutorialHospital_LevelObjective3_Name	Advanced Hospital		
Challenges/Objective_R1_TutorialHospital_Pharmacy_Description	Build a Pharmacy		
Challenges/Objective_R1_TutorialHospital_Pharmacy_Name	Build a Pharmacy		
Challenges/Objective_R1_TutorialHospital_PlaceReceptionDesk_Description	Place a Reception Desk		
Challenges/Objective_R1_TutorialHospital_PlaceReceptionDesk_Name	Reception Desk		
Challenges/Objective_R1_TutorialHospital_UnlockLightHeadedClinic_Description			
Challenges/Objective_R1_TutorialHospital_UnlockLightHeadedClinic_Name	Unlock De-lux Clinic		
Challenges/Objective_R1_TutorialHospital_UnlockWard_Description			
Challenges/Objective_R1_TutorialHospital_UnlockWard_Name	Unlock Ward		
Challenges/Objective_R2_InjuriesHospital_LevelObjective1_Description			
Challenges/Objective_R2_InjuriesHospital_LevelObjective1_Name	Injuries 1		
Challenges/Objective_R2_InjuriesHospital_LevelObjective2_Description			
Challenges/Objective_R2_InjuriesHospital_LevelObjective2_Name	injuries 2		
Challenges/Objective_R2_InjuriesHospital_LevelObjective3_Description			
Challenges/Objective_R2_InjuriesHospital_LevelObjective3_Name	injuries 3		
Challenges/Objective_R2_ResearchHospital_LevelObjective1_Description			
Challenges/Objective_R2_ResearchHospital_LevelObjective1_Name	Research 1		
Challenges/Objective_R2_ResearchHospital_LevelObjective2_Description			
Challenges/Objective_R2_ResearchHospital_LevelObjective2_Name	Research 2		
Challenges/Objective_R2_ResearchHospital_LevelObjective3_Description			
Challenges/Objective_R2_ResearchHospital_LevelObjective3_Name	Research 3		
Challenges/Objective_R2_ResearchHospital_OnlineChallenge1_Description	Compete against other organisations to generate the most research in a 6 month period. We'll need our top boffins!		
Challenges/Objective_R2_ResearchHospital_OnlineChallenge1_Name	Research Challenge		
Challenges/Objective_R2_ResearchHospital_OnlineChallenge2_Description	Compete against other organisations to train the most staff in a 6 month period. Learn harder, people!		
Challenges/Objective_R2_ResearchHospital_OnlineChallenge2_Name	Training Challenge		
Challenges/Objective_R2_ResearchHospital_OnlineChallenge3_Description	Compete against other organisations to get the highest cure rate in a 6 month period. Holistix have threatened to use their most potent homeopathic remedies. Be afraid.		
Challenges/Objective_R2_ResearchHospital_OnlineChallenge3_Name	Cure Rate Challenge		
Challenges/Objective_R2_ResearchHospital_UnlockResearch_Description	The Two Point Health Ministry will grant us a research licence if we can demonstrate our expertise with machinery here in the university.		
Challenges/Objective_R2_ResearchHospital_UnlockResearch_Name	Research Licence		
Challenges/Objective_R2_WealthyHospital_LevelObjective1_Description			
Challenges/Objective_R2_WealthyHospital_LevelObjective1_Name	Wealthy 1		
Challenges/Objective_R2_WealthyHospital_LevelObjective2_Description			
Challenges/Objective_R2_WealthyHospital_LevelObjective2_Name	Wealthy 2		
Challenges/Objective_R2_WealthyHospital_LevelObjective3_Description			
Challenges/Objective_R2_WealthyHospital_LevelObjective3_Name	Wealthy 3		
Challenges/Objective_R2_WealthyHospital_UnlockMarketing_Name	Marketing Licence		
Challenges/Objective_R3_AbandonedHospital_LevelObjective1_Description			
Challenges/Objective_R3_AbandonedHospital_LevelObjective1_Name	Abandoned 1		
Challenges/Objective_R3_AbandonedHospital_LevelObjective2_Description			
Challenges/Objective_R3_AbandonedHospital_LevelObjective2_Name	Abandoned 2		
Challenges/Objective_R3_AbandonedHospital_LevelObjective3_Description			
Challenges/Objective_R3_AbandonedHospital_LevelObjective3_Name	Abandoned 3		
Challenges/Objective_R3_PublicHospital_LevelObjective1_Description			
Challenges/Objective_R3_PublicHospital_LevelObjective1_Name	Public 1		
Challenges/Objective_R3_PublicHospital_LevelObjective2_Description			
Challenges/Objective_R3_PublicHospital_LevelObjective2_Name	Public 2		
Challenges/Objective_R3_PublicHospital_LevelObjective3_Description			
Challenges/Objective_R3_PublicHospital_LevelObjective3_Name	Public 3		
Challenges/Objective_R3_PublicHospital_Target_Advisor_Intro	Lord Foxbridge has contacted us with details of our latest targets.		
Challenges/Objective_R3_PublicHospital_Target_Advisor_Outro_Failure	Bad news. We failed to achieve our targets. Lord Foxbridge will withhold extra funding for now.		
Challenges/Objective_R3_PublicHospital_Target_Advisor_Outro_Failure_V2	Bad news. We failed to achieve our targets. Lord Foxbridge will withhold extra funding.\nPenalty: <style="AdvisorHighlight">{[REWARDS]}</style>		
Challenges/Objective_R3_PublicHospital_Target_Advisor_Outro_Success	Good news. We achieved our targets. Lord Foxbridge will provide us with some extra funding.		
Challenges/Objective_R3_PublicHospital_Target_Advisor_Outro_Success_V2	Good news. We achieved our targets. Lord Foxbridge will provide us with extra funding.\nReward: <style="AdvisorHighlight">{[REWARDS]}</style>		
Challenges/Objective_R3_PublicHospital_Target_Intro	Lord Foxbridge has contacted us with details of our targets for the upcoming months - see the summary below.\nWe'll need to achieve this if we want extra funding to keep the hospital going.		
Challenges/Objective_R3_PublicHospital_Target_Intro_Title	New Targets from Lord Foxbridge		
Challenges/Objective_R3_PublicHospital_Target_Name	Public Targets		
Challenges/Objective_R3_PublicHospital_Target_Outro_Failure_V1	Lord Foxbridge sent a memo to offer his commiserations, after we failed to achieve our targets:\n\n"You swines! You're making me look like an oaf. No extra funding for you, I'm afraid. Having said that, the chaps down at Pelican Wharf are loving this. Shares in Jumbo Healthcare just skyrocketed. Boff!"		
Challenges/Objective_R3_PublicHospital_Target_Outro_Failure_V2	Lord Foxbridge sent a memo to offer his commiserations, after we failed to achieve our targets:\n\n"Oh shoot! No extra funding for Duckworth Hospital this month. Might splash out on some of those new ruby-lined curtains for the office though. Come on chaps, at least make it look like you're trying."		
Challenges/Objective_R3_PublicHospital_Target_Outro_Success_V1	Lord Foxbridge sent a memo to congratulate us on achieving our targets:\n\n"Jolly good! I'm sure you'll agree we did an excellent job there. I really am steering this ship through choppy waters. Captain Foxbridge has a nice ring to it. Right, I suppose I can crack open the public coffers and allow you a small amount of additional funding. Maybe I'll cut down on the number of helicopter trips I make this month."		
Challenges/Objective_R3_PublicHospital_Target_Outro_Success_V2	Lord Foxbridge sent a memo to congratulate us on achieving our targets:\n\n"Tally ho! Another job well done. The papers love it. And by it I mean me. Champagne all round. Well, here at least. I'll be transferring over some additional funds, but don't you get any ideas. That's public money you scallywags!"		
Challenges/Objective_R3_PublicHospital_Target_Outro_Title	Message from Lord Foxbridge		
Challenges/Objective_R3_TeachingHospital_LevelObjective1_Description			
Challenges/Objective_R3_TeachingHospital_LevelObjective1_Name	Teaching 1		
Challenges/Objective_R3_TeachingHospital_LevelObjective2_Description			
Challenges/Objective_R3_TeachingHospital_LevelObjective2_Name	Teaching 2		
Challenges/Objective_R3_TeachingHospital_LevelObjective3_Description			
Challenges/Objective_R3_TeachingHospital_LevelObjective3_Name	Teaching 3		
Challenges/Objective_R4_DisasterHospital_LevelObjective1_Description			
Challenges/Objective_R4_DisasterHospital_LevelObjective1_Name	Disaster 1		
Challenges/Objective_R4_DisasterHospital_LevelObjective2_Description			
Challenges/Objective_R4_DisasterHospital_LevelObjective2_Name	Disaster 2		
Challenges/Objective_R4_DisasterHospital_LevelObjective3_Description			
Challenges/Objective_R4_DisasterHospital_LevelObjective3_Name	Distaster 3		
Challenges/Objective_R4_EpidemicHospital_LevelObjective1_Description			
Challenges/Objective_R4_EpidemicHospital_LevelObjective1_Name	Epidemic 1		
Challenges/Objective_R4_EpidemicHospital_LevelObjective2_Description			
Challenges/Objective_R4_EpidemicHospital_LevelObjective2_Name	Epidemic 2		
Challenges/Objective_R4_EpidemicHospital_LevelObjective3_Description			
Challenges/Objective_R4_EpidemicHospital_LevelObjective3_Name	Epidemic 3		
Challenges/Objective_R4_TouristHospital_LevelObjective1_Description			
Challenges/Objective_R4_TouristHospital_LevelObjective1_Name	Tourist 1		
Challenges/Objective_R4_TouristHospital_LevelObjective2_Description			
Challenges/Objective_R4_TouristHospital_LevelObjective2_Name	Tourist 2		
Challenges/Objective_R4_TouristHospital_LevelObjective3_Description			
Challenges/Objective_R4_TouristHospital_LevelObjective3_Name	Tourist 3		
Challenges/Objective_R5_FailingHospital_LevelObjective1_Description			
Challenges/Objective_R5_FailingHospital_LevelObjective1_Name	Failing 1		
Challenges/Objective_R5_FailingHospital_LevelObjective2_Description			
Challenges/Objective_R5_FailingHospital_LevelObjective2_Name	Failing 2		
Challenges/Objective_R5_FailingHospital_LevelObjective3_Description			
Challenges/Objective_R5_FailingHospital_LevelObjective3_Name	Failing 3		
Challenges/Objective_R5_FinalHospital_LevelObjective1_Description			
Challenges/Objective_R5_FinalHospital_LevelObjective1_Name	Final 1		
Challenges/Objective_R5_FinalHospital_LevelObjective2_Description			
Challenges/Objective_R5_FinalHospital_LevelObjective2_Name	Final 2		
Challenges/Objective_R5_FinalHospital_LevelObjective3_Description			
Challenges/Objective_R5_FinalHospital_LevelObjective3_Name	Final 3		
Challenges/Objective_R5_HighTechHospital_LevelObjective1_Description			
Challenges/Objective_R5_HighTechHospital_LevelObjective1_Name	High Tech 1		
Challenges/Objective_R5_HighTechHospital_LevelObjective2_Description			
Challenges/Objective_R5_HighTechHospital_LevelObjective2_Name	High Tech 2		
Challenges/Objective_R5_HighTechHospital_LevelObjective3_Description			
Challenges/Objective_R5_HighTechHospital_LevelObjective3_Name	High Tech 3		
Challenges/Objective_STL_LevelObjective1_Description			
Challenges/Objective_STL_LevelObjective1_Name	Getting Set up		
Challenges/Objective_STL_LevelObjective2_Description			
Challenges/Objective_STL_LevelObjective2_Name	Hospital Challenge 2		
Challenges/Objective_STL_LevelObjective3_Description			
Challenges/Objective_STL_LevelObjective3_Name	Hospital Challenge 3		
Challenges/Objective_TeachingHospital_GoldStar_1_Description			
Challenges/Objective_TeachingHospital_GoldStar_1_Name			
Challenges/Objective_TeachingHospital_GoldStar_2_Description			
Challenges/Objective_TeachingHospital_GoldStar_2_Name			
Challenges/Objective_TeachingHospital_GoldStar_3_Description			
Challenges/Objective_TeachingHospital_GoldStar_3_Name			
Challenges/Objective_TestLevelScript_Description			
Challenges/Objective_TestLevelScript_Name			
Challenges/Objective_VS_BuildGPOffice_Description			
Challenges/Objective_VS_BuildGPOffice_Name			
Challenges/Objective_VS_CameraControls_Description	Camera Controls		
Challenges/Objective_VS_CameraControls_Name	Camera Controls		
Challenges/Objective_VS_Cardio_Description			
Challenges/Objective_VS_Cardio_Name			
Challenges/Objective_VS_CorridorItems_Description			
Challenges/Objective_VS_CorridorItems_Name			
Challenges/Objective_VS_CurePatient_Description	Cure Patients		
Challenges/Objective_VS_CurePatient_Name	Cure Patients		
Challenges/Objective_VS_GPOffice_Description	Build a GP Office		
Challenges/Objective_VS_GPOffice_Name	Build a GP Office		
Challenges/Objective_VS_GeneralDiagnosis_Description			
Challenges/Objective_VS_GeneralDiagnosis_Name	Build General Diagnosis		
Challenges/Objective_VS_HireAssistant_Description	Hire an Assistant		
Challenges/Objective_VS_HireAssistant_Name	Hire an Assistant		
Challenges/Objective_VS_HireDoctor_Description	Hire a Doctor		
Challenges/Objective_VS_HireDoctor_Name	Hire a Doctor		
Challenges/Objective_VS_LevelObjective1_Description			
Challenges/Objective_VS_LevelObjective1_Name	Hospital Challenge 1		
Challenges/Objective_VS_LevelObjective2_Description			
Challenges/Objective_VS_LevelObjective2_Name	Hospital Challenge 2		
Challenges/Objective_VS_LevelObjective3_Description			
Challenges/Objective_VS_LevelObjective3_Name	Hospital Challenge 3		
Challenges/Objective_VS_LevelScript_Freeplay_Description			
