ARIAL SDF	Fonts & Materials/ARIAL SDF
Challenges/VIP_Rival_Boss_BigBad_Intro_Title	Jumbo Mega Corp에서 온 방문자
Challenges/VIP_Rival_Boss_BigBad_Name	라이벌 보스 점보 맥 날리
Challenges/VIP_Rival_Boss_Cult_Arrival_Advisor	라이벌 임원이자 오브 재단 CEO 인 아가사 스피어가 병원에 도착했습니다.
Challenges/VIP_Rival_Boss_Cult_Intro_Message	Orb 재단의 최고 지도자 인 Agatha Sphere가 방문합니다. 그녀는 자회사 Orb Medical과의 관계에 대해 공개 토론을 하고 싶습니다. 모든 것이 매우 설득력 있고 세뇌의 힌트가 없었습니다. 솔직히 이것이 환상적인 기회라고 생각합니다. 그래서 즉시 초대했습니다. 또한 참고로 지금은 그녀를 사랑한다고 생각합니다.
Challenges/VIP_Rival_Boss_Cult_Intro_Title	오브 재단 방문자
Challenges/VIP_Rival_Boss_Cult_Name	라이벌 보스 아가사 스피어
Challenges/VIP_Rival_Boss_Science_Arrival_Advisor	라이벌 임원이자 Bungle Technologies의 CEO 인 Sophie Nova가 병원에 도착했습니다.
Challenges/VIP_Rival_Boss_Science_Intro_Message	Bungle Technologies의 CEO 인 Sophie Nova가 방문합니다. 그녀는 우리가 의학의 발전에 도움이되는 지식을 공유할 수 있기를 바랍니다. Bungle Healthcare는 최근 몇 가지 흥미로운 기술 및 제약 발견을했습니다. 연구의 발전을 입증할 수 있다면 흥미로운 기회가될 수 있습니다.
Challenges/VIP_Rival_Boss_Science_Intro_Title	Bungle Technologies의 방문자
Challenges/VIP_Rival_Boss_Science_Name	라이벌 보스 소피 노바
Challenges/VIP_Saboteur_V1_Intro_Message	Jumbo McNally가 그의 가장 사악한 직원 중 한 명을 "방문"을 위해 보냈다고 들었습니다.\n그들은 다른 모든 사람과 구별할 수 없지만 우리는 병원에 피해를주는 사람을 경계해야 합니다.
Challenges/VIP_Saboteur_V2_Intro_Message	Jumbo Mega Corp는 방해 행위 부서의 누군가를 병원으로 보내고 있습니다.\n그들은 다른 사람들과 구별할 수 없을 것입니다.하지만 우리는 병원에 피해를 입히는 누군가를 경계해야 합니다.
Challenges/WaterTornado_AdvisorMessage	기상특보 : 지역에 수중 회오리바람이 예보되었습니다.
Challenges/WaterTornado_Name	물 토네이도
Challenges/WaterTornado_NotificationMessage	경고, 지역에서 물 토네이도가 감지되었습니다! 장비가 손상될 수 있습니다.
Challenges/WaveObjectivesHorde_Description	각 물결은 많은 환자가 도착하면서 시작됩니다. 다음 단계로 진행하려면 모든 환자가 처리되기 전에 모든 Wave Objective를 성공적으로 완료해야 합니다.
Challenges/WaveObjectivesHorde_ObjectiveMenuProgress_CS	처리된 환자 : {[PROCESSED]}\n남은 환자 : {[REMAIN]}
Challenges/WaveObjectivesHorde_Title	웨이브 목표
Challenges/WaveObjectivesHorde_WaveObjectiveComplete_CS	웨이브 목표 완료
Challenges/Wellness_AdvisorMessage_CS	자금 업데이트 : 이제 Holistix에서 <style="AdvisorHighlight">웰빙 지수</style>의 점수를 기준으로 향후 3 개월 동안 총 운영 비용의 <style="AdvisorHighlight">{[PERCENT]}</style>를 부담하게됩니다.
Character/Attributes/01_Hunger_CS	굶주림
Character/Attributes/02_Thirst_CS	목마름
Character/Attributes/03_Toilet_CS	화장실
Character/Attributes/04_Boredom_CS	지루함
Character/Attributes/05_Litter_CS	쓰레기
Character/Attributes/06_Energy_CS	에너지
Character/Attributes/07_Health_CS	건강
Character/Attributes/08_Happiness_CS	행복
Character/Attributes/09_XP_CS	경험
Character/Attributes/10_Nausea_CS	메스꺼움
Character/Attributes/11_Hygiene_CS	위생
Character/Attributes/12_Temperature_CS	온도
Character/Modifiers/CustomerService_Description_CS	{[PERCENT]} 고객 서비스 기술
Character/Modifiers/DiagnosisRoom_Description_CS	{[ROOM]}의 {[PERCENT]} 진단 기술
Character/Modifiers/Diagnosis_Description_CS	{[PERCENT]} 진단 기술
Character/Modifiers/Happiness_Description_CS	{[PERCENT]} 행복
Character/Modifiers/Maintenance_Description_CS	{[PERCENT]} 유지 관리 기술
Character/Modifiers/Marketing_Description_CS	{[PERCENT]} 마케팅 기술
Character/Modifiers/MovementSpeed_Description_CS	{[PERCENT]} 속도
Character/Modifiers/Research_Description_CS	{[PERCENT]} 연구 기술
Character/Modifiers/TrainingLearning_Description_CS	{[PERCENT]} 학습 속도
Character/Modifiers/TrainingTeaching_Description_CS	{[PERCENT]} 교육 속도
Character/Modifiers/TreatmentRoom_Description_CS	{[ROOM]}의 {[PERCENT]} 치료 기술
Character/Modifiers/Treatment_Description_CS	{[PERCENT]} 치료 기술
Character/Modifiers/UpgradeItem_Description_CS	{[PERCENT]} 업그레이드 기술
Collaborative/Advisor_ProjectCompleted	슈퍼버그 프로젝트 완료 : <style="AdvisorHighlight">{0}</style>\n여기를 클릭하여 <style="AdvisorHighlight">보상</style>을 받으세요.
Collaborative/Button_Tooltip	슈퍼버그 네트워크\n공동 프로젝트
Collaborative/ChainObjective_Cure_Name	연속 치료
Collaborative/Chat_Albert_Name	알버트 크랭크
Collaborative/Chat_Albert_ProjectFive_LieDown	이 프로젝트의 규모를 생각하면 머리가 아프다는 것을 알고 계셨습니까? 누워 야 해요.
Collaborative/Chat_Albert_ProjectFour_First	먼저
Collaborative/Chat_Albert_ProjectOne_Chat	아, 잊을 뻔 했어요… 이것은 슈퍼버그 그룹 채팅입니다. 채팅은 동료 협력자들과 소통하고, 연구 전략을 조정하거나, 제가 지금하고있는 것처럼 친근한 방식으로 상호 작용하는 데 사용할 수 있습니다. 좋은 날.
Collaborative/Chat_Albert_ProjectOne_Nodes	인사말! 시작하려면 연구 노드를 클릭하여 기준을 확인하고 "시작"을 선택한 다음 병원 중 하나로 이동하십시오. 프로젝트를 완료하기 위해 연구 트리 아래로 진행하여 승리 노드를 찾아 완료하십시오.
Collaborative/Chat_Albert_ProjectThree_DeadEnds	모든 연구 방법이 유익한 것은 아닙니다. 프로젝트에 참여하는 사람이 많을수록 막 다른 골목을 더 빨리 제거할 수 있습니다.
Collaborative/Chat_Albert_ProjectTwo_Invite	프로젝트 리더가 친구를 프로젝트에 초대하고 작업량을 도울 수 있다는 사실을 알고 계 셨나요? 여러 조직의 데이터가 필요한 연구 노드를 찾으십시오.
Collaborative/Chat_Sophie_Name	소피 노바
Collaborative/Chat_Sophie_ProjectFive	이 기술의 잠재적 인 응용 분야는 셀 수없이 많으며 이름을 알기에는 너무 많습니다. 그래도 나는 축하할 목록을 만들기 시작할 것입니다.
Collaborative/Chat_Sophie_ProjectFour_1	…
Collaborative/Chat_Sophie_ProjectFour_2	이 프로젝트에 참여하신 추가 보너스는 제가 1 년치 Cheesy Gubbins를 받았다는 것입니다. 그리고 사람들은 CEO가 되는 것에는 어떤 특권도 없다고 말합니다! 모두 감사합니다.
Collaborative/Chat_Sophie_ProjectOne	나는 이 나이 전에 들여다보기로되어 있었지만 Monobeasts는 내 피부를 크롤링합니다!
Collaborative/Chat_Sophie_ProjectThree	전에 귀신을 실험 해 보았습니다. 귀신이 들린 알람 시계가 깨어나 기위한 무서운 방법이될 것임을 깨달았어야했는데… 더 나은 아이디어가 있어야합니다! 큐, 너희들.
Collaborative/Chat_Sophie_ProjectTwo_1	loooooooooove를 조사하려면 파트너가 필요합니다
Collaborative/Chat_Sophie_ProjectTwo_2	아니요,하지만 진지하게이 사람은 한 명 이상이 필요합니다.
Collaborative/Collaborative_Objective_Desc	협업 프로젝트에 기여하려면이 목표를 완료하십시오.
Collaborative/Collaborative_Objective_Desc_Test	공동 작업 목표 설명 테스트
Collaborative/Collaborative_Objective_Name_Test	공동 작업 목표 이름 테스트
Collaborative/Complete_ViewProject_CS	프로젝트보기
Collaborative/DeleteData_Button_Tooltip	데이터를 지우고 협업 커리어를 다시 시작하십시오.
Collaborative/DeleteData_Complete	공동 작업 데이터를 삭제했습니다.
Collaborative/DeleteData_Text	공동 작업 데이터를 재설정 하시겠습니까?\n\n공동 작업을 다시 시작하고 활성 프로젝트를 종료하지만 얻은 모든 보상은 유지합니다.
Collaborative/DeleteData_Title	협업 커리어 다시 시작
Collaborative/Error_ConnectionTimedOut_CS	연결 시간이 초과되었습니다
Collaborative/Error_FileCorruption_CS	파일 손상
Collaborative/Error_RetrievingData_CS	다음과 같은 이유로 프로젝트 리더 {0}에서 데이터를 검색하는 데 문제가 있습니다.\n\n{1}\n\n하지만 기다리지 않으려면 데이터 검색을 계속 시도합니다. ,이 프로젝트를 중단할 수 있습니다. 프로젝트를 중단하면 모든 기여가 손실됩니다.
Collaborative/Failed_Restart_CS	다시 시작
Collaborative/Feature_Intro_Advisor	<style="AdvisorHighlight">공동 프로젝트</style>가 잠금 해제되었습니다! 다른 의료 기관과 협력하여 새로운 연구 방법을 탐색하고 놀라운 발견을 하십시오.
Collaborative/GUI/Abandon	버리다
Collaborative/GUI/AbandonObjectiveMessage_CS	이 목표를 포기 하시겠습니까?\n\n이 목표를 향한 모든 진행 상황이 손실됩니다.
Collaborative/GUI/AbandonProjectWarning	이 프로젝트를 중단 하시겠습니까? \\n\\n리더/비 리더의 결과는 어쩌구 저쩌구 저쩌구입니다.
Collaborative/GUI/AbandonProjectWarningLeader_CS	이 프로젝트를 중단 하시겠습니까?\n\n이 프로젝트의 리더입니다. 포기하면 프로젝트가 종료되고 모든 참가자가 진행 상황을 잃게됩니다.
Collaborative/GUI/AbandonProjectWarning_CS	이 프로젝트를 중단 하시겠습니까?\n\n이 프로젝트를 나가면 기여한 내용이 손실됩니다.
Collaborative/GUI/Abandon_CS	버리다
Collaborative/GUI/Abandoning_CS	포기 중…
Collaborative/GUI/ChangeObjectiveCollabWarning1_CS	{0}에 이미 활성 목표가 있습니다. 이 새 목표를 시작하면 {1}이 (가) 중단되고 모든 진행 상황이 손실됩니다.
Collaborative/GUI/ChangeObjectiveCollabWarning2_CS	글로벌 프로젝트에서 이미 활성 목표가 있습니다. 이 목표를 시작하면 이전 목표가 자동으로 취소되고 모든 진행 상황이 손실됩니다!
Collaborative/GUI/ChangeObjectiveGlobal_CS	공동 프로젝트에서 이미 활성 목표가 있습니다. 이 목표를 시작하면 이전 목표가 자동으로 취소되고 모든 진행 상황이 손실됩니다!
Collaborative/GUI/Chat	잡담
Collaborative/GUI/ClaimRewardNow_CS	오래 남지 않았습니다 ...
Collaborative/GUI/Collaborators	공동 작업자 :
Collaborative/GUI/CollaboratorsCount_CS	참가자 {0}명
Collaborative/GUI/Collect_CS	수집
Collaborative/GUI/Collected_CS	모은
Collaborative/GUI/Completed	완료
Collaborative/GUI/Completed_CS	완료
Collaborative/GUI/Creating_CS	만드는 중…
Collaborative/GUI/DaysRemaining_CS	{0 : N0} 일 남음…
Collaborative/GUI/Events/CompletedResearchNode_CS	<b>{0}</b> 목표 완료!
Collaborative/GUI/Events/JoinProject_CS	프로젝트에 참여했습니다!
Collaborative/GUI/Events/RejectInvite_CS	초대를 거부했습니다!
Collaborative/GUI/Events/StartedResearchNode_CS	<b>{0}</b> 목표 시작!
Collaborative/GUI/GatheringData	다른 재단에서 데이터 수집 중 ...
Collaborative/GUI/Incomplete_CS	불완전한
Collaborative/GUI/InviteCollaborators	공동 작업자 초대
Collaborative/GUI/Invites	초대 :
Collaborative/GUI/Join	참가
Collaborative/GUI/Joining_CS	참가 중…
Collaborative/GUI/KickPlayerWarning_CS	프로젝트에서 {0}을 (를) 제거 하시겠습니까?\n\n이 프로젝트에 기여한 내용을 잃게되어 일부 진행 상황이 손실될 수 있습니다.
Collaborative/GUI/Kick_CS	발 차기
Collaborative/GUI/KickedReason_CS	리더 {0}에 의해이 프로젝트에서 추방되었습니다. 이 프로젝트 슬롯을 확보하려면 프로젝트를 중단하십시오.
Collaborative/GUI/Kudosh	Kudosh :
Collaborative/GUI/Kudosh_CS	Kudosh :
Collaborative/GUI/Leader	리더
Collaborative/GUI/Letter_Signature	지속적인 협조에 감사드립니다.\n\nSophie Nova\nBungle Technologies CEO
Collaborative/GUI/Log	기록
Collaborative/GUI/NewResearchProject	새로운 연구 프로젝트 :
Collaborative/GUI/NewResearchProject_CS	새로운 연구 프로젝트 :
Collaborative/GUI/OK_CS	확인
Collaborative/GUI/PostMessage	메시지 게시…
Collaborative/GUI/ProjectLeader_CS	리더 : {0}
Collaborative/GUI/RecommendedLocation_CS	권장 : {0}
Collaborative/GUI/Reject	거절
Collaborative/GUI/RewardProjectLeader_CS	프로젝트 리더:
Collaborative/GUI/Reward_CS	보상 : {0}
Collaborative/GUI/Rewards	보상 :
Collaborative/GUI/Send	보내다
Collaborative/GUI/Start	시작
Collaborative/GUI/StartNewProject	새 프로젝트 시작 :
Collaborative/GUI/StartProject	프로젝트 시작
Collaborative/GUI/Start_CS	시작
Collaborative/GUI/Title	슈퍼버그 네트워크
Collaborative/GUI/TooManyProjectsWarning	더 이상 활성 프로젝트를 가질 수 없습니다. 새 프로젝트를 시작하려면 하나를 버리십시오.
Collaborative/GUI/Uninvite_CS	Uninvite
Collaborative/GUI/Waiting_CS	기다리는
Collaborative/GUI/YourContributionLong_CS	<b>참여 :</b>{0} 목표 완료
Collaborative/GUI/YourContribution_CS	귀하의 기여 :
Collaborative/GUI/YourContribution_Data_CS	{0} 목표 완료
Collaborative/GlobalProject	글로벌 프로젝트
Collaborative/GlobalProjectExpired_CS	글로벌 프로젝트 만료
Collaborative/Global_Animals_Complete	슈퍼버그 계획은 Creature Comfort Global Project가 완료되었음을 발표하게되어 기쁩니다.\n\n우리의 새로운 종류의 의학적으로 호환되는 동물은 누구도 치료하는 데 도움이되지 않을 것이지만, 그 자리를 조금이라도 살릴 수 있기를 바랍니다.\n\n글쎄요. 다 됐어요.
Collaborative/Global_Animals_Description	어떤 동물이 의료 환경에 도입하기에 유익하고 적합한 지 결론을 내리기위한 완전한 연구 목표.
Collaborative/Global_Animals_Name	생물의 편안함
Collaborative/Global_ArtStatues_Complete	슈퍼버그 계획은 Meditations on Mortality 글로벌 프로젝트가 완료되었음을 발표하게되어 기쁘게 생각합니다.\n\nZara Fitzpocket이 다음을 보냈습니다.\n"이 작업에 영감을 주셔서 감사합니다. 그 자체로 말할 수 있다고 생각합니다. 그것은 당신에 대해 말합니다. 당신은 그것이 무엇이라고 말하는 것을 들었습니까? "\n그렇게 ... 좋은 것 같습니까?\n\n잘하셨습니다.
Collaborative/Global_ArtStatues_Description	Zara Fitzpocket에게 영감을 주세요.
Collaborative/Global_ArtStatues_Name	사망에 대한 묵상
Collaborative/Global_FruitLoot_Complete	슈퍼버그 계획은 과일 전리품 글로벌 프로젝트가 완료되었음을 발표하게되어 기쁩니다.\n\n우리 병원은 이제 모든 과일과 함께 훨씬 더 여름처럼 보일 것입니다. 그러면 더 나은 병원이될까요? 그것은 내가 말할 수 있는 것이 아닙니다. 그래도 좋아 보입니까? 네, 그렇습니다.\n\n잘하셨습니다. 노동의 열매를 즐기십시오.
